k_par,k_per,P,P_err
0.0482,0.0480,0.0333,0.0164
0.0482,0.0574,0.0338,0.0086
0.0482,0.0669,0.0174,0.0061
0.0482,0.0763,0.0249,0.0064
0.0482,0.0858,0.0374,0.0100
0.0482,0.0952,0.0312,0.0080
0.0482,0.1046,0.0217,0.0072
0.0482,0.1141,0.0249,0.0077
0.0482,0.1235,0.0392,0.0080
0.0482,0.1330,0.0199,0.0062
0.0482,0.1424,0.0317,0.0081
0.0482,0.1519,0.0150,0.0065
0.0482,0.1613,0.0183,0.0072
0.0482,0.1707,0.0060,0.0060
0.0482,0.1802,0.0049,0.0076
0.0482,0.1896,-0.0010,0.0072
0.0482,0.1991,0.0020,0.0082
0.0482,0.2085,0.0148,0.0117
0.0482,0.2180,0.0076,0.0105
0.0482,0.2274,0.0014,0.0172
0.0964,0.0480,0.0793,0.0306
0.0964,0.0574,0.0299,0.0080
0.0964,0.0669,0.0413,0.0113
0.0964,0.0763,0.0242,0.0071
0.0964,0.0858,0.0282,0.0085
0.0964,0.0952,0.0203,0.0070
0.0964,0.1046,0.0206,0.0055
0.0964,0.1141,0.0202,0.0075
0.0964,0.1235,0.0301,0.0064
0.0964,0.1330,0.0312,0.0079
0.0964,0.1424,0.0372,0.0082
0.0964,0.1519,0.0120,0.0056
0.0964,0.1613,0.0217,0.0068
0.0964,0.1707,0.0124,0.0058
0.0964,0.1802,0.0151,0.0078
0.0964,0.1896,0.0173,0.0082
0.0964,0.1991,0.0039,0.0070
0.0964,0.2085,0.0061,0.0134
0.0964,0.2180,0.0317,0.0112
0.0964,0.2274,0.0353,0.0193
0.1446,0.0480,0.0357,0.0178
0.1446,0.0574,0.0117,0.0057
0.1446,0.0669,0.0251,0.0086
0.1446,0.0763,0.0140,0.0048
0.1446,0.0858,0.0145,0.0044
0.1446,0.0952,0.0233,0.0065
0.1446,0.1046,0.0182,0.0068
0.1446,0.1141,0.0246,0.0077
0.1446,0.1235,0.0345,0.0076
0.1446,0.1330,0.0273,0.0072
0.1446,0.1424,0.0222,0.0068
0.1446,0.1519,0.0259,0.0078
0.1446,0.1613,0.0182,0.0072
0.1446,0.1707,0.0207,0.0074
0.1446,0.1802,0.0122,0.0071
0.1446,0.1896,0.0116,0.0078
0.1446,0.1991,0.0044,0.0079
0.1446,0.2085,0.0032,0.0110
0.1446,0.2180,0.0159,0.0119
0.1446,0.2274,0.0026,0.0170
0.1928,0.0480,0.0196,0.0091
0.1928,0.0574,0.0093,0.0040
0.1928,0.0669,0.0194,0.0076
0.1928,0.0763,0.0217,0.0056
0.1928,0.0858,0.0248,0.0065
0.1928,0.0952,0.0265,0.0073
0.1928,0.1046,0.0182,0.0062
0.1928,0.1141,0.0311,0.0092
0.1928,0.1235,0.0186,0.0047
0.1928,0.1330,0.0215,0.0059
0.1928,0.1424,0.0214,0.0067
0.1928,0.1519,0.0166,0.0062
0.1928,0.1613,0.0054,0.0060
0.1928,0.1707,0.0191,0.0073
0.1928,0.1802,0.0194,0.0090
0.1928,0.1896,0.0114,0.0066
0.1928,0.1991,0.0124,0.0085
0.1928,0.2085,0.0023,0.0109
0.1928,0.2180,0.0017,0.0108
0.1928,0.2274,0.0162,0.0161
0.2410,0.0480,0.0213,0.0098
0.2410,0.0574,0.0024,0.0036
0.2410,0.0669,0.0217,0.0073
0.2410,0.0763,0.0235,0.0067
0.2410,0.0858,0.0188,0.0066
0.2410,0.0952,0.0273,0.0076
0.2410,0.1046,0.0219,0.0059
0.2410,0.1141,0.0123,0.0046
0.2410,0.1235,0.0145,0.0051
0.2410,0.1330,0.0112,0.0052
0.2410,0.1424,0.0134,0.0052
0.2410,0.1519,0.0080,0.0068
0.2410,0.1613,0.0227,0.0077
0.2410,0.1707,0.0197,0.0069
0.2410,0.1802,0.0207,0.0071
0.2410,0.1896,0.0226,0.0074
0.2410,0.1991,0.0097,0.0084
0.2410,0.2085,0.0321,0.0155
0.2410,0.2180,-0.0010,0.0116
0.2410,0.2274,0.0017,0.0162
0.2892,0.0480,0.0211,0.0094
0.2892,0.0574,0.0086,0.0045
0.2892,0.0669,0.0019,0.0044
0.2892,0.0763,0.0091,0.0049
0.2892,0.0858,0.0097,0.0049
0.2892,0.0952,0.0192,0.0060
0.2892,0.1046,0.0121,0.0047
0.2892,0.1141,0.0124,0.0050
0.2892,0.1235,0.0255,0.0057
0.2892,0.1330,0.0142,0.0050
0.2892,0.1424,0.0143,0.0074
0.2892,0.1519,0.0130,0.0060
0.2892,0.1613,0.0056,0.0052
0.2892,0.1707,0.0104,0.0060
0.2892,0.1802,0.0067,0.0090
0.2892,0.1896,0.0226,0.0079
0.2892,0.1991,0.0073,0.0089
0.2892,0.2085,-0.0139,0.0122
0.2892,0.2180,0.0118,0.0108
0.2892,0.2274,0.0035,0.0169
0.3374,0.0480,0.0141,0.0103
0.3374,0.0574,0.0153,0.0058
0.3374,0.0669,0.0111,0.0061
0.3374,0.0763,0.0148,0.0044
0.3374,0.0858,0.0067,0.0048
0.3374,0.0952,0.0114,0.0044
0.3374,0.1046,0.0201,0.0066
0.3374,0.1141,0.0217,0.0064
0.3374,0.1235,0.0258,0.0057
0.3374,0.1330,0.0253,0.0062
0.3374,0.1424,0.0065,0.0057
0.3374,0.1519,0.0074,0.0057
0.3374,0.1613,0.0142,0.0069
0.3374,0.1707,0.0140,0.0055
0.3374,0.1802,-0.0028,0.0080
0.3374,0.1896,0.0158,0.0069
0.3374,0.1991,0.0169,0.0078
0.3374,0.2085,0.0100,0.0143
0.3374,0.2180,0.0092,0.0123
0.3374,0.2274,-0.0027,0.0157
0.3856,0.0480,0.0094,0.0083
0.3856,0.0574,0.0104,0.0044
0.3856,0.0669,0.0148,0.0053
0.3856,0.0763,0.0131,0.0046
0.3856,0.0858,0.0070,0.0032
0.3856,0.0952,0.0085,0.0058
0.3856,0.1046,0.0066,0.0058
0.3856,0.1141,0.0130,0.0066
0.3856,0.1235,0.0129,0.0051
0.3856,0.1330,0.0044,0.0043
0.3856,0.1424,0.0130,0.0053
0.3856,0.1519,0.0022,0.0047
0.3856,0.1613,0.0050,0.0060
0.3856,0.1707,0.0140,0.0057
0.3856,0.1802,0.0180,0.0079
0.3856,0.1896,0.0211,0.0068
0.3856,0.1991,0.0028,0.0083
0.3856,0.2085,0.0138,0.0094
0.3856,0.2180,0.0091,0.0116
0.3856,0.2274,-0.0089,0.0183
0.4338,0.0480,0.0177,0.0087
0.4338,0.0574,0.0054,0.0038
0.4338,0.0669,0.0115,0.0061
0.4338,0.0763,0.0096,0.0039
0.4338,0.0858,0.0031,0.0060
0.4338,0.0952,0.0130,0.0054
0.4338,0.1046,0.0185,0.0056
0.4338,0.1141,0.0109,0.0053
0.4338,0.1235,0.0163,0.0050
0.4338,0.1330,0.0078,0.0051
0.4338,0.1424,0.0131,0.0059
0.4338,0.1519,0.0031,0.0063
0.4338,0.1613,0.0086,0.0058
0.4338,0.1707,0.0141,0.0066
0.4338,0.1802,0.0168,0.0071
0.4338,0.1896,0.0156,0.0077
0.4338,0.1991,-0.0009,0.0070
0.4338,0.2085,0.0033,0.0105
0.4338,0.2180,-0.0004,0.0106
0.4338,0.2274,0.0320,0.0221
