k (Mpc^-1)  P_FG (mK^2)  P_21 (mK^2)  Delta P_sample (mK^2)
     0.068000004       19262.399      0.32889696     0.034477768
      0.19804496       5080.1609      0.60017766     0.046167512
      0.27411638       2035.9359       3.4660017      0.24569834
      0.32808991       2505.0320       12.467430      0.89053073
      0.36995503       157.82551       1.8536673      0.16257738
      0.40416133       54.431572       1.5576802      0.17986541
      0.43308234       62.317355       2.5928206      0.34648021
      0.45813486       91.833093       3.7620956      0.60241742
      0.48023275       866.19412       13.027035       2.9129334
      0.49999999            -NaN            -NaN            -NaN
