k (Mpc^-1)  P_21 (mK^2)  P_noise (mK^2)  Delta P_thermal (mK^2)  Delta P_sample (mK^2)
     0.068000004    0.0092237490    0.0013616396   9.3968229e-05   0.00045150158
      0.19804496      0.16202121     0.040849044    0.0032835641    0.0059832561
      0.27411638      0.37498272      0.10620599    0.0097626637     0.012877235
      0.32808991      0.67046359      0.17918562     0.021453367     0.023544575
      0.36995503      0.87873509      0.28549466     0.042786674     0.035180194
      0.40416133       2.4220188      0.85786247      0.17353808      0.11151697
      0.43308234       6.7256522       2.4177655      0.58726605      0.38615565
      0.45813486       14.574424       6.4212039       1.8519477       1.0556260
      0.48023275       59.004233       30.069201       11.314007       5.0541783
      0.49999999            -NaN            -NaN        Infinity            -NaN
