k per (hMpc^-1)  k par (hMpc^-1) P_21 (K^2h^-3Mpc^3)  P_noise (K^2h^-3Mpc^3)   Delta P_thermal (K^2h^-3Mpc^3)  Sample variance (K^2h^-3Mpc^3) 
    0.0076552470    0.0423346  9.35206e-05  2.13301e-06  4.65462e-07   2.04079e-05
    0.0076552470    0.0846692  0.000696344  8.12120e-05  1.77219e-05   0.000151955
    0.0076552470     0.127004  0.000299162  1.59431e-05  3.47907e-06   6.52825e-05
    0.0076552470     0.169338   0.00143882  5.36907e-06  1.17163e-06   0.000313977
    0.0076552470     0.211673  0.000309358  9.16724e-06  2.00046e-06   6.75074e-05
    0.0076552470     0.254008  0.000181933  7.12370e-05  1.55452e-05   3.97010e-05
    0.0076552470     0.296342  0.000108178  1.23581e-05  2.69677e-06   2.36063e-05
    0.0076552470     0.338677  0.000628343  9.20491e-05  2.00868e-05   0.000137116
    0.0076552470     0.381011  0.000190848  3.24889e-05  7.08966e-06   4.16466e-05
    0.0076552470     0.423346  8.83655e-05  2.01688e-05  4.40119e-06   1.92829e-05
     0.015310494    0.0423346  0.000295525  8.04730e-06  1.75606e-06   6.44889e-05
     0.015310494    0.0846692   0.00161476  7.36595e-05  1.60738e-05   0.000352370
     0.015310494     0.127004  0.000437403  3.17850e-05  6.93606e-06   9.54492e-05
     0.015310494     0.169338   0.00127857  9.37867e-06  2.04659e-06   0.000279007
     0.015310494     0.211673  0.000361487  8.57311e-06  1.87081e-06   7.88830e-05
     0.015310494     0.254008  0.000254829  6.64001e-05  1.44897e-05   5.56082e-05
     0.015310494     0.296342  0.000314737  1.07519e-05  2.34626e-06   6.86812e-05
     0.015310494     0.338677  0.000528741  9.85508e-05  2.15055e-05   0.000115381
     0.015310494     0.381011  0.000336886  4.27792e-05  9.33519e-06   7.35145e-05
     0.015310494     0.423346  0.000169127  2.50061e-05  5.45677e-06   3.69065e-05
     0.022965741    0.0423346  0.000980949  2.75479e-05  6.01145e-06   0.000214061
     0.022965741    0.0846692   0.00235871  5.68250e-05  1.24002e-05   0.000514712
     0.022965741     0.127004  0.000766766  3.38878e-05  7.39491e-06   0.000167322
     0.022965741     0.169338  0.000906097  2.04570e-05  4.46408e-06   0.000197727
     0.022965741     0.211673  0.000302043  1.37537e-05  3.00130e-06   6.59113e-05
     0.022965741     0.254008  0.000392818  5.05843e-05  1.10384e-05   8.57199e-05
     0.022965741     0.296342  0.000488413  2.50312e-05  5.46225e-06   0.000106580
     0.022965741     0.338677  0.000324043  0.000109046  2.37958e-05   7.07121e-05
     0.022965741     0.381011  0.000486986  4.54312e-05  9.91390e-06   0.000106269
     0.022965741     0.423346  0.000251390  2.75975e-05  6.02226e-06   5.48578e-05
     0.030620988    0.0423346   0.00128476  4.54586e-05  9.91988e-06   0.000280358
     0.030620988    0.0846692   0.00211437  4.77636e-05  1.04229e-05   0.000461393
     0.030620988     0.127004   0.00100399  2.49056e-05  5.43485e-06   0.000219089
     0.030620988     0.169338  0.000606521  2.91596e-05  6.36314e-06   0.000132354
     0.030620988     0.211673  0.000231764  2.78425e-05  6.07573e-06   5.05750e-05
     0.030620988     0.254008  0.000415705  3.11764e-05  6.80325e-06   9.07142e-05
     0.030620988     0.296342  0.000420808  3.77284e-05  8.23302e-06   9.18279e-05
     0.030620988     0.338677  0.000166304  0.000107882  2.35417e-05   3.62906e-05
     0.030620988     0.381011  0.000519466  4.13938e-05  9.03287e-06   0.000113357
     0.030620988     0.423346  0.000271694  3.68155e-05  8.03380e-06   5.92886e-05
     0.038276235    0.0423346   0.00132138  4.71457e-05  1.02880e-05   0.000288348
     0.038276235    0.0846692   0.00150191  3.11085e-05  6.78843e-06   0.000327745
     0.038276235     0.127004  0.000976927  2.93667e-05  6.40833e-06   0.000213183
     0.038276235     0.169338  0.000543664  3.23182e-05  7.05241e-06   0.000118637
     0.038276235     0.211673  0.000189124  4.50491e-05  9.83051e-06   4.12702e-05
     0.038276235     0.254008  0.000415842  2.72463e-05  5.94564e-06   9.07442e-05
     0.038276235     0.296342  0.000298634  3.88072e-05  8.46842e-06   6.51673e-05
     0.038276235     0.338677  9.23680e-05  0.000110561  2.41264e-05   2.01563e-05
     0.038276235     0.381011  0.000410165  4.70808e-05  1.02739e-05   8.95053e-05
     0.038276235     0.423346  0.000284654  3.94413e-05  8.60681e-06   6.21167e-05
     0.045931482    0.0423346   0.00104225  3.93062e-05  8.57733e-06   0.000227438
     0.045931482    0.0846692  0.000945617  2.14272e-05  4.67580e-06   0.000206350
     0.045931482     0.127004  0.000953588  4.61193e-05  1.00640e-05   0.000208090
     0.045931482     0.169338  0.000634346  3.58526e-05  7.82368e-06   0.000138426
     0.045931482     0.211673  0.000206964  4.19057e-05  9.14457e-06   4.51632e-05
     0.045931482     0.254008  0.000437119  3.26843e-05  7.13230e-06   9.53873e-05
     0.045931482     0.296342  0.000247729  3.19677e-05  6.97593e-06   5.40589e-05
     0.045931482     0.338677  0.000121072  9.56831e-05  2.08798e-05   2.64201e-05
     0.045931482     0.381011  0.000266752  5.62777e-05  1.22808e-05   5.82101e-05
     0.045931482     0.423346  0.000278030  4.50612e-05  9.83316e-06   6.06710e-05
     0.053586729    0.0423346  0.000761464  3.50107e-05  7.63996e-06   0.000166165
     0.053586729    0.0846692  0.000612773  2.57591e-05  5.62109e-06   0.000133718
     0.053586729     0.127004   0.00106727  6.30232e-05  1.37528e-05   0.000232898
     0.053586729     0.169338  0.000581244  4.27907e-05  9.33770e-06   0.000126838
     0.053586729     0.211673  0.000198081  3.71573e-05  8.10838e-06   4.32249e-05
     0.053586729     0.254008  0.000406600  3.64530e-05  7.95469e-06   8.87273e-05
     0.053586729     0.296342  0.000282034  2.94035e-05  6.41638e-06   6.15448e-05
     0.053586729     0.338677  0.000259374  6.65427e-05  1.45208e-05   5.66001e-05
     0.053586729     0.381011  0.000202099  6.16154e-05  1.34456e-05   4.41016e-05
     0.053586729     0.423346  0.000255320  4.90800e-05  1.07101e-05   5.57154e-05
     0.061241976    0.0423346  0.000454663  4.38132e-05  9.56082e-06   9.92157e-05
     0.061241976    0.0846692  0.000423980  4.09893e-05  8.94459e-06   9.25201e-05
     0.061241976     0.127004   0.00112521  7.34088e-05  1.60191e-05   0.000245541
     0.061241976     0.169338  0.000429591  4.60918e-05  1.00581e-05   9.37444e-05
     0.061241976     0.211673  0.000239109  4.06328e-05  8.86681e-06   5.21778e-05
     0.061241976     0.254008  0.000328631  4.00147e-05  8.73191e-06   7.17132e-05
     0.061241976     0.296342  0.000190921  3.87862e-05  8.46385e-06   4.16624e-05
     0.061241976     0.338677  0.000403874  3.99083e-05  8.70871e-06   8.81326e-05
     0.061241976     0.381011  0.000116664  7.21936e-05  1.57539e-05   2.54581e-05
     0.061241976     0.423346  0.000260827  4.69082e-05  1.02362e-05   5.69170e-05
     0.068897223    0.0423346  0.000253776  7.17616e-05  1.56597e-05   5.53784e-05
     0.068897223    0.0846692  0.000461252  5.69037e-05  1.24174e-05   0.000100653
     0.068897223     0.127004   0.00100232  8.69784e-05  1.89802e-05   0.000218725
     0.068897223     0.169338  0.000364190  5.50501e-05  1.20129e-05   7.94727e-05
     0.068897223     0.211673  0.000384905  4.44931e-05  9.70919e-06   8.39931e-05
     0.068897223     0.254008  0.000283073  5.13598e-05  1.12076e-05   6.17715e-05
     0.068897223     0.296342  0.000156287  5.76864e-05  1.25882e-05   3.41046e-05
     0.068897223     0.338677  0.000469455  2.70713e-05  5.90744e-06   0.000102444
     0.068897223     0.381011  0.000105121  8.97123e-05  1.95768e-05   2.29392e-05
     0.068897223     0.423346  0.000272150  5.28791e-05  1.15392e-05   5.93880e-05
     0.076552470    0.0423346  0.000273424  8.10570e-05  1.76881e-05   5.96659e-05
     0.076552470    0.0846692  0.000517375  6.03801e-05  1.31760e-05   0.000112901
     0.076552470     0.127004  0.000805563  7.80203e-05  1.70254e-05   0.000175788
     0.076552470     0.169338  0.000282874  6.11468e-05  1.33433e-05   6.17281e-05
     0.076552470     0.211673  0.000493201  5.60207e-05  1.22247e-05   0.000107625
     0.076552470     0.254008  0.000411232  5.53904e-05  1.20872e-05   8.97382e-05
     0.076552470     0.296342  0.000261584  6.47120e-05  1.41213e-05   5.70823e-05
     0.076552470     0.338677  0.000382567  2.90375e-05  6.33651e-06   8.34830e-05
     0.076552470     0.381011  0.000132346  8.12897e-05  1.77389e-05   2.88803e-05
     0.076552470     0.423346  0.000216472  5.89397e-05  1.28617e-05   4.72380e-05
     0.084207717    0.0423346  0.000393921  5.57268e-05  1.21606e-05   8.59607e-05
     0.084207717    0.0846692  0.000559603  6.39934e-05  1.39645e-05   0.000122115
     0.084207717     0.127004  0.000578102  5.45606e-05  1.19061e-05   0.000126152
     0.084207717     0.169338  0.000193240  6.81228e-05  1.48656e-05   4.21685e-05
     0.084207717     0.211673  0.000523599  6.25445e-05  1.36483e-05   0.000114259
     0.084207717     0.254008  0.000565376  5.43195e-05  1.18535e-05   0.000123375
     0.084207717     0.296342  0.000445549  6.87651e-05  1.50058e-05   9.72267e-05
     0.084207717     0.338677  0.000377824  3.32062e-05  7.24620e-06   8.24479e-05
     0.084207717     0.381011  0.000156134  6.24763e-05  1.36334e-05   3.40713e-05
     0.084207717     0.423346  0.000194069  6.64944e-05  1.45103e-05   4.23494e-05
     0.091862964    0.0423346  0.000336564  3.90542e-05  8.52233e-06   7.34443e-05
     0.091862964    0.0846692  0.000667166  6.57525e-05  1.43484e-05   0.000145588
     0.091862964     0.127004  0.000492819  5.52067e-05  1.20471e-05   0.000107542
     0.091862964     0.169338  0.000215037  6.84787e-05  1.49433e-05   4.69249e-05
     0.091862964     0.211673  0.000361377  6.87882e-05  1.50108e-05   7.88589e-05
     0.091862964     0.254008  0.000565580  6.14169e-05  1.34023e-05   0.000123420
     0.091862964     0.296342  0.000519101  7.68868e-05  1.67781e-05   0.000113277
     0.091862964     0.338677  0.000388572  5.66913e-05  1.23710e-05   8.47933e-05
     0.091862964     0.381011  0.000196252  5.70034e-05  1.24392e-05   4.28258e-05
     0.091862964     0.423346  0.000273574  6.18858e-05  1.35046e-05   5.96987e-05
     0.099518211    0.0423346  0.000341233  3.97794e-05  8.68057e-06   7.44632e-05
     0.099518211    0.0846692  0.000617730  6.23320e-05  1.36019e-05   0.000134800
     0.099518211     0.127004  0.000498738  7.40497e-05  1.61590e-05   0.000108834
     0.099518211     0.169338  0.000305465  6.43609e-05  1.40447e-05   6.66580e-05
     0.099518211     0.211673  0.000278738  7.68629e-05  1.67729e-05   6.08256e-05
     0.099518211     0.254008  0.000623746  7.43166e-05  1.62172e-05   0.000136112
