k_par,k_per,P,P_err
0.0076552470,0.0423346,0.00710669,0.00158076
0.0076552470,0.0846692,0.136886,0.0298774
0.0076552470,0.127004,0.216155,0.0471694
0.0076552470,0.169338,0.359006,0.0783489
0.0076552470,0.211673,0.168556,0.0367892
0.0076552470,0.254008,0.0462431,0.0101105
0.0076552470,0.296342,0.00422392,0.00092268
0.0076552470,0.338677,0.00948699,0.0020818
0.0076552470,0.381011,0.0341749,0.00746783
0.0076552470,0.423346,0.0602829,0.0131727
0.015310494,0.0423346,0.0121843,0.0026844
0.015310494,0.0846692,0.295502,0.064489
0.015310494,0.127004,0.458156,0.0999789
0.015310494,0.169338,0.785211,0.171354
0.015310494,0.211673,0.361961,0.0789949
0.015310494,0.254008,0.0997694,0.0217912
0.015310494,0.296342,0.00869719,0.00189939
0.015310494,0.338677,0.0176499,0.00386754
0.015310494,0.381011,0.0750192,0.0163812
0.015310494,0.423346,0.131515,0.0287159
0.022965741,0.0423346,0.00576738,0.0012747
0.022965741,0.0846692,0.207037,0.0451847
0.022965741,0.127004,0.317064,0.0691918
0.022965741,0.169338,0.559971,0.122203
0.022965741,0.211673,0.259128,0.0565556
0.022965741,0.254008,0.0708188,0.0154738
0.022965741,0.296342,0.00602700,0.00132068
0.022965741,0.338677,0.0121538,0.00266795
0.022965741,0.381011,0.0556968,0.0121613
0.022965741,0.423346,0.0934814,0.0204138
0.030620988,0.0423346,0.000944505,0.000215729
0.030620988,0.0846692,0.0528630,0.0115419
0.030620988,0.127004,0.0804530,0.0175603
0.030620988,0.169338,0.146693,0.0320174
0.030620988,0.211673,0.0702929,0.0153485
0.030620988,0.254008,0.0199958,0.00438209
0.030620988,0.296342,0.00188337,0.000419754
0.030620988,0.338677,0.00347407,0.000768518
0.030620988,0.381011,0.0162291,0.00354617
0.030620988,0.423346,0.0242668,0.00530562
0.038276235,0.0423346,0.000456586,0.000108591
0.038276235,0.0846692,0.0132665,0.0029009
0.038276235,0.127004,0.0209820,0.00458467
0.038276235,0.169338,0.0372481,0.00813455
0.038276235,0.211673,0.0171296,0.00374656
0.038276235,0.254008,0.00779698,0.00171871
0.038276235,0.296342,0.000782324,0.000181433
0.038276235,0.338677,0.00112565,0.000251167
0.038276235,0.381011,0.00468693,0.001028
0.038276235,0.423346,0.00581312,0.00127713
0.045931482,0.0423346,0.000143605,4.36489e-05
0.045931482,0.0846692,0.00971429,0.00212761
0.045931482,0.127004,0.0151809,0.00331969
0.045931482,0.169338,0.0274252,0.00598962
0.045931482,0.211673,0.0117872,0.00258493
0.045931482,0.254008,0.00690129,0.0015202
0.045931482,0.296342,0.00117446,0.000264238
0.045931482,0.338677,0.00145016,0.000321317
0.045931482,0.381011,0.00263584,0.000582089
0.045931482,0.423346,0.00453481,0.000998361
0.053586729,0.0423346,7.83832e-05,3.18427e-05
0.053586729,0.0846692,0.00544088,0.00119881
0.053586729,0.127004,0.00890283,0.00194879
0.053586729,0.169338,0.0170954,0.00373518
0.053586729,0.211673,0.00699432,0.00154244
0.053586729,0.254008,0.00401948,0.000889604
0.053586729,0.296342,0.00136933,0.000304911
0.053586729,0.338677,0.00143521,0.000320809
0.053586729,0.381011,0.00120670,0.000271844
0.053586729,0.423346,0.00289227,0.000639145
0.061241976,0.0423346,7.65850e-05,2.78948e-05
0.061241976,0.0846692,0.00344570,0.00076714
0.061241976,0.127004,0.00721542,0.00158075
0.061241976,0.169338,0.0114301,0.0024996
0.061241976,0.211673,0.00526190,0.00116494
0.061241976,0.254008,0.00180649,0.000404125
0.061241976,0.296342,0.00111239,0.000247967
0.061241976,0.338677,0.00111763,0.000254607
0.061241976,0.381011,0.000845064,0.000193691
0.061241976,0.423346,0.00172172,0.000387346
0.068897223,0.0423346,0.000135269,3.8076e-05
0.068897223,0.0846692,0.00224442,0.000504137
0.068897223,0.127004,0.00739784,0.0016212
0.068897223,0.169338,0.00653183,0.00143388
0.068897223,0.211673,0.00459645,0.00101852
0.068897223,0.254008,0.00163303,0.000365544
0.068897223,0.296342,0.000938313,0.000209988
0.068897223,0.338677,0.00102591,0.000237369
0.068897223,0.381011,0.000932623,0.000213867
0.068897223,0.423346,0.00131872,0.000304007
0.076552470,0.0423346,0.000160221,4.26018e-05
0.076552470,0.0846692,0.00170194,0.000384053
0.076552470,0.127004,0.00522859,0.00114874
0.076552470,0.169338,0.00543506,0.00119831
0.076552470,0.211673,0.00318667,0.000711044
0.076552470,0.254008,0.00188283,0.000420288
0.076552470,0.296342,0.000896508,0.000202142
0.076552470,0.338677,0.000827842,0.000195412
0.076552470,0.381011,0.00104947,0.000238619
0.076552470,0.423346,0.00110601,0.0002581
0.084207717,0.0423346,0.000101519,3.02217e-05
0.084207717,0.0846692,0.00113525,0.000259141
0.084207717,0.127004,0.00324169,0.00071515
0.084207717,0.169338,0.00394176,0.00087677
0.084207717,0.211673,0.00204598,0.000461183
0.084207717,0.254008,0.00159831,0.00035915
0.084207717,0.296342,0.000842831,0.000193334
0.084207717,0.338677,0.000563589,0.000137401
0.084207717,0.381011,0.000958843,0.000219138
0.084207717,0.423346,0.000912391,0.000213609
0.091862964,0.0423346,8.16479e-05,2.69455e-05
0.091862964,0.0846692,0.00139441,0.000316142
0.091862964,0.127004,0.00356957,0.000787821
0.091862964,0.169338,0.00456033,0.0010111
0.091862964,0.211673,0.00251467,0.000561874
0.091862964,0.254008,0.00137193,0.000310968
0.091862964,0.296342,0.000810193,0.000188368
0.091862964,0.338677,0.000684883,0.000162319
0.091862964,0.381011,0.00101711,0.000232267
0.091862964,0.423346,0.00121923,0.000279783
0.099518211,0.0423346,6.25243e-05,2.50949e-05
0.099518211,0.0846692,0.00103911,0.00023882
0.099518211,0.127004,0.00262385,0.000582622
0.099518211,0.169338,0.00373232,0.000828465
