k (Mpc^-1)  P_FG (mK^2)  P_21 (mK^2)  P_noise (mK^2)  Delta P_thermal (mK^2)  Delta P_sample (mK^2)
     0.068000004       19261.859      0.33149125    0.0013563902   9.3776210e-05     0.015907759
      0.19804496       5081.4141      0.69661802     0.040525529    0.0032911568     0.025613145
      0.27411638       2035.1888       3.7263419      0.10466527    0.0097492252      0.12703299
      0.32808991       2503.6413       12.652810      0.17687911     0.021463850      0.43546533
      0.36995503       158.13271       2.6499740      0.28642092     0.043407543      0.11263349
      0.40416133       54.538765       4.2150938      0.88003403      0.18118126      0.23120347
      0.43308234       63.280108       9.1501987       2.5784617      0.63973698      0.57573790
      0.45813486       96.006573       25.637715       7.1510931       2.1142117       1.6785446
      0.48023275       837.54269       122.25215       41.436509       15.906012       11.953874
      0.49999999            -NaN            -NaN            -NaN        Infinity            -NaN
