k (Mpc^-1)  P_FG (mK^2)  P_21 (mK^2)  Delta P_sample (mK^2)
     0.068000004       19262.399      0.32889705     0.034477777
      0.19804496       5080.1607      0.60017916     0.046167628
      0.27411638       2035.9357       3.4660066      0.24569869
      0.32808991       2505.0317       12.467446      0.89053187
      0.36995503       157.82551       1.8536658      0.16257724
      0.40416133       54.431569       1.5576815      0.17986556
      0.43308234       62.317354       2.5928280      0.34648121
      0.45813486       91.833093       3.7620939      0.60241715
      0.48023275       866.19420       13.027075       2.9129426
      0.49999999            -NaN            -NaN            -NaN
