k (Mpc^-1)  P_FG (mK^2)  P_21 (mK^2)  P_noise (mK^2)  Delta P_thermal (mK^2)  Delta P_sample (mK^2)
     0.068000004       19260.117      0.32422925     0.013563902   0.00093776210     0.015651282
      0.19804496       5075.9209       1.0728321      0.40525529     0.032911568     0.042008181
      0.27411638       2039.2529       4.7380397       1.0466527     0.097492252      0.16319658
      0.32808991       2511.7310       15.606770       1.7687911      0.21463850      0.54834905
      0.36995503       159.06039       8.8324945       2.8642092      0.43407543      0.38481277
      0.40416133       58.013860       26.298395       8.8003403       1.8118126      1.4531670
      0.43308234       74.654396       92.027460       25.784617       6.3973698      5.8271212
      0.45813486       128.97646       192.00131       71.510931       21.14211       13.008630
      0.48023275       1079.9934       1510.0016       414.36509       159.06012      159.36681
      0.49999999            -NaN            -NaN            -NaN        Infinity       -NaN
