k (Mpc^-1)  P_21 (mK^2)  P_noise (mK^2)  Delta P_thermal (mK^2)  Delta P_sample (mK^2)
     0.068000004     0.017170573     0.013616396   0.00093968229    0.0010072933
      0.19804496      0.61402497      0.40849044     0.032835641     0.024736910
      0.27411638       1.2882232       1.0620599     0.097626637     0.051885575
      0.32808991       2.2660518       1.7918562      0.21453367     0.087106042
      0.36995503       5.0230570       2.8549466      0.42786674      0.21911447
      0.40416133       17.030845       8.5786247       1.7353808      0.97034552
      0.43308234       45.923024       24.177655       5.8726605       2.4745124
      0.45813486       146.30128       64.212039       18.519477       10.353219
      0.48023275       698.03535       300.69201       113.14007       68.319996
      0.49999999            -NaN            -NaN        Infinity            -NaN
