k_par,k_per,P,P_err
4.73992000E-02,4.59000000E-02,4.951207401756508261E+03,8.521310972391512450E+01
4.73992000E-02,9.18000000E-02,4.109091106763643779E+02,1.046282397411037124E+01
4.73992000E-02,1.37700000E-01,1.684768835991446423E+01,4.820270140148311677E-01
4.73992000E-02,1.83600000E-01,1.648971062062909009E-03,2.993813210485898725E-05
4.73992000E-02,2.29500000E-01,1.843524042880651426E-04,3.419561849209020454E-06
4.73992000E-02,2.75400000E-01,1.157195907361712915E-04,2.558658357093801473E-06
4.73992000E-02,3.21300000E-01,1.097044124307503915E-04,1.641879942733247607E-06
4.73992000E-02,3.67200000E-01,8.896449127210734255E-05,1.813920048754778137E-06
4.73992000E-02,4.13100000E-01,1.087270546138691362E-04,1.533501965860673614E-06
4.73992000E-02,4.59000000E-01,1.095101102893230032E-04,1.754946056458628439E-06
,,,
5.49576000E-02,4.59000000E-02,3.131817582148012207E+03,5.883158437742967095E+01
5.49576000E-02,9.18000000E-02,2.637894995963703195E+02,7.161575264881096636E+00
5.49576000E-02,1.37700000E-01,1.104821441179806563E+01,3.571624967177808863E-01
5.49576000E-02,1.83600000E-01,1.304254398217178333E-03,2.976175992562580193E-05
5.49576000E-02,2.29500000E-01,1.410715162696043426E-04,2.614725313376788584E-06
5.49576000E-02,2.75400000E-01,1.214516633720383716E-04,2.886921436796729871E-06
5.49576000E-02,3.21300000E-01,1.132428105076772065E-04,1.730916202071769027E-06
5.49576000E-02,3.67200000E-01,9.650551002841273112E-05,2.027048207539224447E-06
5.49576000E-02,4.13100000E-01,7.560336581544231085E-05,1.176793096032015780E-06
5.49576000E-02,4.59000000E-01,8.184801506683462723E-05,1.481647898660545761E-06
,,,
6.25160000E-02,4.59000000E-02,2.183309926069600351E+03,4.650356200716169752E+01
6.25160000E-02,9.18000000E-02,1.859035619781962509E+02,5.717200517119321646E+00
6.25160000E-02,1.37700000E-01,7.911839117852273340E+00,2.672151254433858814E-01
6.25160000E-02,1.83600000E-01,1.180442801985587611E-03,2.651410957131164635E-05
6.25160000E-02,2.29500000E-01,1.217097895135364804E-04,2.009961477318030528E-06
6.25160000E-02,2.75400000E-01,9.447813109551779541E-05,2.104010968926033668E-06
6.25160000E-02,3.21300000E-01,1.002472179856696668E-04,1.638912070193537970E-06
6.25160000E-02,3.67200000E-01,7.965615856300853250E-05,1.920711913002779118E-06
6.25160000E-02,4.13100000E-01,6.633215250291159954E-05,9.935602191277377678E-07
6.25160000E-02,4.59000000E-01,7.037806710542322429E-05,1.274808442610917621E-06
,,,
7.00744000E-02,4.59000000E-02,1.550667760404422552E+03,3.143624927794310153E+01
7.00744000E-02,9.18000000E-02,1.359878230239313837E+02,4.023555281779687576E+00
7.00744000E-02,1.37700000E-01,6.023740364805477476E+00,1.982671714080449510E-01
7.00744000E-02,1.83600000E-01,1.311329639175809903E-03,4.362417654247448127E-05
7.00744000E-02,2.29500000E-01,1.492333121566611688E-04,2.849413299183620066E-06
7.00744000E-02,2.75400000E-01,9.389337230388207685E-05,2.407430668722568119E-06
7.00744000E-02,3.21300000E-01,9.694468717402830423E-05,1.890234668908285604E-06
7.00744000E-02,3.67200000E-01,9.064436576912751880E-05,2.697354900772634745E-06
7.00744000E-02,4.13100000E-01,8.256011903456253009E-05,1.316923068790096744E-06
7.00744000E-02,4.59000000E-01,8.319394917997957031E-05,1.878677881208160069E-06
,,,
7.76328000E-02,4.59000000E-02,1.044333905289583527E+03,2.087432992936887288E+01
7.76328000E-02,9.18000000E-02,9.559609598043834922E+01,2.739477640101363409E+00
7.76328000E-02,1.37700000E-01,4.480675106256136964E+00,1.402900151483898183E-01
7.76328000E-02,1.83600000E-01,1.425410480815923970E-03,4.277376662236670826E-05
7.76328000E-02,2.29500000E-01,2.045744661243117392E-04,3.149804637517701548E-06
7.76328000E-02,2.75400000E-01,1.501597965693661019E-04,3.437358940886339971E-06
7.76328000E-02,3.21300000E-01,1.279817766741824534E-04,2.412205763229353872E-06
7.76328000E-02,3.67200000E-01,9.277562072198519672E-05,2.310114479549459923E-06
7.76328000E-02,4.13100000E-01,9.038247020387699029E-05,1.489282585717580808E-06
7.76328000E-02,4.59000000E-01,9.791065263732780949E-05,2.108401093032612517E-06
,,,
8.51912000E-02,4.59000000E-02,1.145930124278449966E+03,2.385552456712298408E+01
8.51912000E-02,9.18000000E-02,1.030786206871106856E+02,3.190415930101806019E+00
8.51912000E-02,1.37700000E-01,4.731600657923398678E+00,1.588910630004846114E-01
8.51912000E-02,1.83600000E-01,1.412514023645627037E-03,4.843166569346683283E-05
8.51912000E-02,2.29500000E-01,1.456911860271113430E-04,2.227244916719016963E-06
8.51912000E-02,2.75400000E-01,1.030060809672097530E-04,2.322308621012960473E-06
8.51912000E-02,3.21300000E-01,9.974335200892580266E-05,1.587822534946748915E-06
8.51912000E-02,3.67200000E-01,9.708388920761938027E-05,2.357071329197966343E-06
8.51912000E-02,4.13100000E-01,8.101939855660916150E-05,1.346493364500088473E-06
8.51912000E-02,4.59000000E-01,6.541429088627408715E-05,1.201836499556608034E-06
,,,
9.27496000E-02,4.59000000E-02,9.229426468184843770E+02,1.934819059688891585E+01
9.27496000E-02,9.18000000E-02,8.469394691569603140E+01,2.584534438882329255E+00
9.27496000E-02,1.37700000E-01,3.997134637029978954E+00,1.300522237052740560E-01
9.27496000E-02,1.83600000E-01,1.482720157004918052E-03,4.778981986120871419E-05
9.27496000E-02,2.29500000E-01,1.500068383479952183E-04,2.347864191468237501E-06
9.27496000E-02,2.75400000E-01,1.146864750412096220E-04,2.860929533292393533E-06
9.27496000E-02,3.21300000E-01,1.196813768772449151E-04,2.300204343969051215E-06
9.27496000E-02,3.67200000E-01,1.245428556536616409E-04,3.131654947383179666E-06
9.27496000E-02,4.13100000E-01,1.060160814203860814E-04,1.746038380063645192E-06
9.27496000E-02,4.59000000E-01,8.639130590722754802E-05,1.463064304984399584E-06
,,,
1.00308000E-01,4.59000000E-02,6.846129194453579885E+02,1.290810982028053466E+01
1.00308000E-01,9.18000000E-02,6.420077580742679402E+01,1.712874893751649807E+00
1.00308000E-01,1.37700000E-01,3.134043177116643708E+00,9.004561203648836498E-02
1.00308000E-01,1.83600000E-01,1.581454853409967843E-03,4.783310392551980215E-05
1.00308000E-01,2.29500000E-01,1.405693391458291794E-04,2.332806346996452387E-06
1.00308000E-01,2.75400000E-01,1.238576578801942540E-04,3.030119901920777425E-06
1.00308000E-01,3.21300000E-01,1.309456877064980721E-04,3.022138030143150615E-06
1.00308000E-01,3.67200000E-01,1.388513489942562668E-04,4.807443555658380544E-06
1.00308000E-01,4.13100000E-01,1.279796437083727267E-04,2.404180305623914960E-06
1.00308000E-01,4.59000000E-01,1.075388421378414350E-04,1.991030669546859559E-06
,,,
1.07866400E-01,4.59000000E-02,5.147992340874737920E+02,8.979133135255629838E+00
1.07866400E-01,9.18000000E-02,5.023739749765847051E+01,1.239207786109712828E+00
1.07866400E-01,1.37700000E-01,2.573883559503102880E+00,7.100176341594142959E-02
1.07866400E-01,1.83600000E-01,1.503888985342782944E-03,5.880981477583800411E-05
1.07866400E-01,2.29500000E-01,2.133348455075539994E-04,4.973784593582097179E-06
1.07866400E-01,2.75400000E-01,1.540536332381641047E-04,4.826917827205711989E-06
1.07866400E-01,3.21300000E-01,1.105354780354640757E-04,2.291295726209779082E-06
1.07866400E-01,3.67200000E-01,9.549933992845005461E-05,2.759912895912605065E-06
1.07866400E-01,4.13100000E-01,1.040399273129443932E-04,1.744248964428064954E-06
1.07866400E-01,4.59000000E-01,9.800939229956561112E-05,2.138569259117302341E-06
,,,
1.15424800E-01,4.59000000E-02,4.319093089079788683E+02,7.674643438531487227E+00
1.15424800E-01,9.18000000E-02,4.207225912461208139E+01,1.084124016763330811E+00
1.15424800E-01,1.37700000E-01,2.176279558100834066E+00,6.245795624190338124E-02
1.15424800E-01,1.83600000E-01,1.863048946627404896E-03,7.185052030001529621E-05
1.15424800E-01,2.29500000E-01,2.497486562309657212E-04,4.879582538367185201E-06
1.15424800E-01,2.75400000E-01,1.730231448299854747E-04,4.459302891874235648E-06
1.15424800E-01,3.21300000E-01,1.340733682107926822E-04,2.684778384774372394E-06
1.15424800E-01,3.67200000E-01,1.164962633648102431E-04,3.262857338897063968E-06
1.15424800E-01,4.13100000E-01,1.175522242291231320E-04,2.853445076011645542E-06
1.15424800E-01,4.59000000E-01,1.260471595108687685E-04,4.323358730415954145E-06
,,,
1.22983200E-01,4.59000000E-02,3.746485461743231440E+02,6.364091392213460985E+00
1.22983200E-01,9.18000000E-02,3.784922237505528386E+01,9.662884667933022698E-01
1.22983200E-01,1.37700000E-01,2.048014978222667981E+00,5.954046207665102119E-02
1.22983200E-01,1.83600000E-01,2.274925621497394471E-03,8.047051265038895722E-05
1.22983200E-01,2.29500000E-01,2.121254573110992463E-04,3.848988749601999516E-06
1.22983200E-01,2.75400000E-01,1.843603055796876695E-04,5.460547089680466134E-06
1.22983200E-01,3.21300000E-01,1.799226557983191351E-04,4.060836490037454273E-06
1.22983200E-01,3.67200000E-01,1.721716375606367332E-04,5.438140757409219414E-06
1.22983200E-01,4.13100000E-01,1.516299196687899290E-04,4.025722714248750148E-06
1.22983200E-01,4.59000000E-01,1.326086699649177056E-04,4.526271040565171040E-06
,,,
1.30541600E-01,4.59000000E-02,3.658811268830168046E+02,6.801949856202321065E+00
1.30541600E-01,9.18000000E-02,3.831901594074930983E+01,1.023654170970311972E+00
1.30541600E-01,1.37700000E-01,2.154545142815626591E+00,6.290316979330413949E-02
1.30541600E-01,1.83600000E-01,2.386303422089138156E-03,1.017976107936823568E-04
1.30541600E-01,2.29500000E-01,1.722458771073016534E-04,3.694406934896146142E-06
1.30541600E-01,2.75400000E-01,1.475312082419625269E-04,4.748301258147565036E-06
1.30541600E-01,3.21300000E-01,1.252516036553600167E-04,2.868669622215027231E-06
1.30541600E-01,3.67200000E-01,1.206339396907640392E-04,3.748100339479661858E-06
1.30541600E-01,4.13100000E-01,1.058800773260153513E-04,2.307108903302700043E-06
1.30541600E-01,4.59000000E-01,8.282524881218833511E-05,1.847541092359919628E-06
,,,
1.38100000E-01,4.59000000E-02,3.457573600147707111E+02,6.036762597976008671E+00
1.38100000E-01,9.18000000E-02,3.587234985308909074E+01,9.240106381939274804E-01
1.38100000E-01,1.37700000E-01,2.027033226792825715E+00,5.896731308223784884E-02
1.38100000E-01,1.83600000E-01,2.866280902197208998E-03,1.277514555874316893E-04
1.38100000E-01,2.29500000E-01,1.724883719491598054E-04,3.944870885836325889E-06
1.38100000E-01,2.75400000E-01,1.612674843348254326E-04,4.952477240850451613E-06
1.38100000E-01,3.21300000E-01,1.412425799460895518E-04,2.960155274690700114E-06
1.38100000E-01,3.67200000E-01,1.060410436408749138E-04,3.141185969188774336E-06
1.38100000E-01,4.13100000E-01,9.296451668583769628E-05,2.081183526623899307E-06
1.38100000E-01,4.59000000E-01,1.220181566701415780E-04,3.353698303185368137E-06
,,,
1.45658400E-01,4.59000000E-02,2.897357894944073564E+02,4.925550039713658457E+00
1.45658400E-01,9.18000000E-02,3.132875459517749661E+01,7.679334038827407838E-01
1.45658400E-01,1.37700000E-01,1.861621049853048548E+00,5.218351847765850815E-02
1.45658400E-01,1.83600000E-01,3.319206393165886025E-03,1.415988362936034819E-04
1.45658400E-01,2.29500000E-01,2.096404733158102433E-04,4.769444479769680746E-06
1.45658400E-01,2.75400000E-01,1.658055299079762930E-04,5.142460490424187253E-06
1.45658400E-01,3.21300000E-01,1.342241895007234434E-04,3.052845503839983743E-06
1.45658400E-01,3.67200000E-01,9.785415582496802961E-05,2.647347241850477191E-06
1.45658400E-01,4.13100000E-01,9.311893190996584720E-05,1.621381421334891731E-06
1.45658400E-01,4.59000000E-01,1.164026674193078235E-04,2.409901545471882048E-06
,,,
1.53216800E-01,4.59000000E-02,2.560916404319407889E+02,4.793121773572741162E+00
1.53216800E-01,9.18000000E-02,2.833704403903388425E+01,8.092875277272438828E-01
1.53216800E-01,1.37700000E-01,1.741464270450268526E+00,5.674566752165569050E-02
1.53216800E-01,1.83600000E-01,3.645277069607621469E-03,1.826870068239510800E-04
1.53216800E-01,2.29500000E-01,1.434209493933076552E-04,3.450342580768267889E-06
1.53216800E-01,2.75400000E-01,9.489277061436801131E-05,3.257196346251908025E-06
1.53216800E-01,3.21300000E-01,8.375979527973328499E-05,2.318312716325814893E-06
1.53216800E-01,3.67200000E-01,8.065806692334185387E-05,2.957129299905221261E-06
1.53216800E-01,4.13100000E-01,8.337403156531240781E-05,1.740531843483099204E-06
1.53216800E-01,4.59000000E-01,8.583301498271144500E-05,2.099923700565577029E-06
,,,
1.60775200E-01,4.59000000E-02,1.872829765698400593E+02,4.596324553636816468E+00
1.60775200E-01,9.18000000E-02,2.220019501425789699E+01,7.727177559304623244E-01
1.60775200E-01,1.37700000E-01,1.475966229421919795E+00,5.101573513658737985E-02
1.60775200E-01,1.83600000E-01,4.111411037853080624E-03,1.848923173022350554E-04
1.60775200E-01,2.29500000E-01,1.230831069507144662E-04,3.281729162299815328E-06
1.60775200E-01,2.75400000E-01,8.969652873386566678E-05,3.201292013751552314E-06
1.60775200E-01,3.21300000E-01,9.682480871154812007E-05,2.664174866862357397E-06
1.60775200E-01,3.67200000E-01,1.042470784806267349E-04,4.169174177301440035E-06
1.60775200E-01,4.13100000E-01,1.097771931457679369E-04,2.951963568113608979E-06
1.60775200E-01,4.59000000E-01,1.064113444377609140E-04,2.942835405599231778E-06
,,,
1.68333600E-01,4.59000000E-02,1.490721308882743017E+02,4.034860858995193311E+00
1.68333600E-01,9.18000000E-02,1.917877107848314111E+01,6.902670421127408140E-01
1.68333600E-01,1.37700000E-01,1.378071534736255987E+00,4.974446419919212325E-02
1.68333600E-01,1.83600000E-01,4.618142970828622781E-03,2.801993187652193173E-04
1.68333600E-01,2.29500000E-01,1.357767830232129152E-04,4.098700810292225104E-06
