k,d2,d2_err
6.80000000E-02,8.392074502593816E-01,6.134599644563655E-03
8.48755042E-02,1.668424264876348E+00,1.153885577884112E-02
1.05938988E-01,3.319545151690248E+00,1.848068752912997E-02
1.32229780E-01,6.574829192177226E+00,3.015879752419825E-02
1.65045137E-01,1.303825920802209E+01,5.126260636895998E-02
2.06004253E-01,2.540879961203434E+01,8.556612041648873E-02
2.57128159E-01,4.966260292773558E+01,1.542294726811898E-01
3.20939443E-01,9.516868749081821E+01,2.719285924045329E-01
4.00586722E-01,1.860416572441529E+02,5.306713727095396E-01
5.00000000E-01,3.947470524003210E+02,3.410583499996855E+00
